protein_id,molecular_weight,isoelectric_point,hydrophobicity,sequence_length,hydrophobic_aa_percent,charged_aa_percent,solubility,aa_A,aa_R,aa_N,aa_D,aa_C,aa_Q,aa_E,aa_G,aa_H,aa_I,aa_L,aa_K,aa_M,aa_F,aa_P,aa_S,aa_T,aa_W,aa_Y,aa_V
PROT_0011,46.76,10.89,1.228,621,25.3,27.48,0,4.13,3.66,2.35,7.35,5.52,10.1,10.17,1.17,7.11,6.55,2.05,6.3,5.99,2.37,4.47,1.75,3.45,3.85,5.33,6.35
PROT_0012,19.63,6.33,-1.477,348,27.46,18.01,1,6.01,5.13,8.04,1.66,7.63,2.9,7.72,6.58,2.06,3.03,2.48,3.5,6.16,7.44,4.76,2.79,7.86,1.25,5.75,7.25
PROT_0013,96.91,10.19,-0.374,715,27.06,16.46,1,6.89,5.35,4.35,0.98,1.51,8.03,8.2,5.31,7.64,5.6,2.09,1.93,3.39,8.16,7.33,7.85,8.16,2.59,2.91,1.73
PROT_0014,63.33,6.14,1.181,313,29.43,21.21,0,1.74,6.82,6.39,7.12,6.04,6.5,0.89,5.55,2.9,6.82,5.98,6.38,6.04,2.47,5.88,1.44,6.44,6.35,2.18,6.07
PROT_0015,78.65,7.58,-0.459,670,24.83,18.13,0,1.08,2.44,3.53,7.83,8.66,3.13,6.04,4.1,8.77,5.2,8.43,1.82,8.68,2.33,8.62,3.02,1.76,4.38,6.74,3.41
PROT_0016,28.37,6.94,1.761,773,27.16,26.68,0,3.1,6.94,0.96,8.78,5.5,7.03,7.22,6.62,4.02,1.53,6.57,3.74,3.6,8.12,7.04,3.48,3.56,4.4,4.35,3.44
PROT_0017,100.93,9.26,0.691,310,36.55,19.47,0,8.76,6.28,3.56,5.7,0.96,3.44,4.68,5.97,6.62,4.98,4.78,2.81,5.05,8.75,7.84,2.43,1.69,5.42,6.43,3.86
PROT_0018,63.78,7.9,1.67,204,24.02,15.08,0,1.82,1.11,7.73,5.1,6.21,4.0,7.04,4.85,5.85,3.49,3.6,1.83,5.64,7.08,6.86,7.03,6.28,2.33,6.46,5.7
PROT_0019,40.12,7.08,0.854,320,27.8,17.44,1,1.81,4.26,4.75,4.96,3.17,6.41,4.1,6.85,7.42,3.98,7.53,4.12,2.0,7.2,4.15,6.39,7.04,2.87,6.58,4.41
PROT_0020,46.35,6.73,1.567,509,33.08,21.97,0,3.87,8.7,1.66,2.27,4.28,2.29,2.82,4.56,3.83,5.0,1.5,8.18,4.34,7.63,9.16,1.13,8.59,5.95,5.1,9.13
PROT_0021,63.48,4.35,-0.484,296,28.8,17.76,1,8.93,6.83,7.43,3.45,3.44,5.69,1.46,4.65,8.22,5.36,2.87,6.02,2.48,7.63,1.44,5.25,7.02,1.44,7.84,2.57
PROT_0022,85.29,7.95,-1.128,796,26.61,22.79,1,3.71,7.39,4.15,7.31,7.99,3.08,1.64,1.11,5.51,9.41,3.91,6.45,7.56,6.46,7.33,8.99,2.63,1.11,2.23,2.01
PROT_0023,78.04,4.85,1.935,122,32.15,25.8,0,6.9,2.19,5.65,6.75,1.77,7.31,8.46,1.72,1.08,3.33,6.2,8.4,3.99,6.49,1.47,6.3,5.8,1.67,6.95,7.56
PROT_0024,77.21,6.26,-1.018,168,37.97,19.49,1,5.23,6.28,1.46,6.17,1.01,4.32,4.89,4.43,3.85,8.15,4.64,2.15,2.33,5.14,6.19,5.91,8.38,7.2,4.68,7.61
PROT_0025,87.51,8.52,-0.037,97,36.76,25.08,0,8.22,2.94,4.77,5.97,4.06,1.16,7.96,2.42,2.68,7.52,3.74,8.21,6.72,3.21,1.0,8.77,1.63,6.88,4.96,7.19
PROT_0026,44.03,8.13,1.041,691,31.76,17.54,0,3.29,4.18,2.87,6.28,3.89,5.39,3.69,8.98,5.36,3.75,4.58,3.39,2.77,6.75,3.46,6.92,8.61,6.5,2.45,6.89
PROT_0027,105.48,4.8,-1.739,583,32.56,21.85,0,9.93,8.59,3.71,4.29,3.76,7.45,2.16,1.42,1.51,3.67,9.6,6.81,7.86,1.94,1.12,3.6,5.37,4.11,9.79,3.31
PROT_0028,25.42,9.34,0.502,350,37.98,23.02,1,5.34,6.19,2.04,7.16,8.23,1.52,2.79,5.19,4.09,5.49,5.66,6.88,3.81,7.91,3.17,5.43,4.19,5.27,1.33,8.31
PROT_0029,30.64,5.86,-1.431,141,26.92,14.44,1,2.01,3.67,6.93,2.8,5.43,8.36,6.07,1.5,4.17,4.11,10.14,1.9,3.6,3.92,9.42,7.32,9.56,3.23,2.36,3.51
PROT_0030,17.18,9.35,1.286,670,33.02,21.32,0,6.73,5.26,6.97,7.69,4.1,4.32,3.09,3.83,2.86,4.85,4.09,5.28,7.45,6.3,5.33,1.02,2.53,5.85,7.24,5.2
PROT_0031,24.25,5.77,-1.536,493,24.53,15.36,1,7.38,2.42,5.32,4.67,3.29,9.35,4.62,7.81,9.12,4.9,4.38,3.65,1.82,2.3,4.41,5.12,6.53,4.32,7.36,1.25
PROT_0032,16.44,6.86,-1.101,196,34.25,14.96,1,8.43,1.01,8.84,5.16,1.49,5.67,6.61,5.49,4.98,1.47,3.41,2.18,3.6,8.94,5.37,1.26,6.68,8.2,7.4,3.8
PROT_0033,43.05,4.02,0.904,681,37.22,21.27,0,8.55,6.13,2.14,8.44,3.26,6.6,4.26,4.8,4.72,4.59,2.07,2.44,5.74,6.93,2.0,1.46,7.14,7.81,3.65,7.27
PROT_0034,101.18,10.87,-0.019,117,38.61,20.8,0,8.92,4.83,2.09,5.22,3.67,5.33,5.26,4.55,3.48,2.41,6.5,5.49,2.77,7.13,1.24,6.88,6.56,7.42,4.0,6.23
PROT_0035,48.25,9.03,1.038,634,24.49,19.57,0,4.23,4.84,6.77,6.8,3.81,4.4,3.92,5.75,3.6,5.29,1.83,4.01,7.46,3.1,5.55,5.25,6.65,6.65,6.7,3.39
PROT_0036,33.91,5.23,0.438,471,28.27,22.64,1,7.35,3.49,8.03,4.02,3.42,2.03,10.99,8.79,8.22,2.14,2.8,4.14,1.41,4.39,1.69,4.74,5.47,3.59,5.28,8.0
PROT_0037,104.6,4.75,-0.475,447,33.3,13.78,1,5.71,4.38,5.0,2.47,5.39,4.11,5.6,7.27,4.15,2.87,4.73,1.33,7.6,7.91,2.95,7.72,5.77,4.09,2.97,7.99
PROT_0038,95.58,8.77,-1.453,179,31.67,26.79,1,2.97,5.91,0.97,6.87,3.7,0.87,7.12,6.49,7.91,7.46,6.25,6.89,7.4,6.47,2.49,6.66,2.41,2.2,2.64,6.32
PROT_0039,50.57,4.81,1.852,224,31.09,19.58,0,5.71,3.16,4.16,5.2,6.35,1.52,3.06,6.47,2.16,1.83,4.9,8.16,4.84,7.72,7.09,2.77,7.05,4.47,6.91,6.46
PROT_0040,111.1,5.55,-1.747,555,28.57,25.3,1,6.83,5.87,7.67,7.58,6.44,3.35,6.34,0.88,4.55,3.98,5.51,5.51,4.89,6.56,7.39,1.54,2.42,0.96,7.0,4.73
PROT_0041,114.91,4.23,-0.518,534,26.3,23.0,1,3.6,4.53,2.19,9.21,3.62,5.26,1.82,8.7,2.15,4.92,6.81,7.44,9.21,4.62,7.44,2.31,4.58,1.83,5.23,4.52
PROT_0042,22.2,9.36,-1.171,301,32.7,22.66,1,8.6,7.83,1.7,6.45,5.31,8.82,3.8,4.12,2.44,1.89,7.77,4.58,6.27,6.1,5.73,1.07,7.27,2.87,1.92,5.47
PROT_0043,65.01,9.45,0.053,191,36.04,7.83,0,4.65,2.74,10.7,1.21,10.26,2.71,2.55,3.83,3.02,8.17,1.45,1.33,9.53,3.69,4.6,3.02,1.73,9.02,6.74,9.06
PROT_0044,72.58,6.28,1.979,623,30.31,27.47,0,5.09,8.75,1.28,7.41,8.1,5.24,4.71,8.91,1.42,4.89,4.25,6.6,4.98,8.46,1.53,1.59,5.96,1.46,3.2,6.16
PROT_0045,22.05,9.82,-1.627,178,29.73,24.2,1,4.78,6.06,1.78,6.88,8.16,6.45,7.45,7.04,2.76,4.76,2.87,3.81,4.78,4.46,1.75,4.55,6.57,4.11,2.23,8.75
PROT_0046,103.76,6.57,1.05,667,33.79,20.69,0,6.54,7.11,5.14,5.37,5.18,3.39,1.8,3.58,5.98,6.63,7.54,6.41,8.31,5.48,3.56,5.31,2.49,5.91,2.58,1.69
PROT_0047,18.22,9.22,-1.139,509,25.11,21.62,1,7.0,7.29,8.27,7.08,5.52,5.74,1.05,7.92,7.17,2.88,2.22,6.2,3.2,3.44,0.89,7.47,5.16,3.9,1.93,5.67
PROT_0048,66.1,8.67,-1.818,484,31.92,21.0,1,4.12,4.38,7.58,8.09,6.18,1.79,1.49,2.45,6.64,7.15,3.49,7.04,5.43,5.04,3.5,7.89,2.05,4.93,3.59,7.19
PROT_0049,47.87,7.0,-0.382,735,23.58,16.23,1,1.52,2.9,9.71,8.07,8.04,3.68,2.12,5.59,4.98,2.21,5.92,3.14,6.16,7.16,4.28,4.67,7.84,5.03,5.25,1.74
PROT_0050,35.36,9.43,-0.596,740,25.16,17.84,1,3.39,4.36,9.11,2.39,8.95,4.83,6.77,4.0,4.63,1.83,4.62,4.32,1.6,8.3,7.24,2.81,7.53,1.59,6.29,5.43
PROT_0051,61.43,6.12,-0.901,137,28.99,14.33,1,2.74,2.03,2.43,5.62,6.87,6.04,2.27,6.97,4.77,6.82,6.87,4.41,8.16,5.33,5.88,5.8,7.69,5.82,2.07,1.41
PROT_0052,21.5,4.72,1.597,431,27.31,17.34,0,4.81,3.28,4.38,1.31,7.33,1.46,7.58,7.51,5.65,4.81,4.46,5.17,7.02,7.83,4.36,7.16,5.93,3.36,4.56,2.04
PROT_0053,116.26,8.22,-1.399,163,30.63,25.01,1,1.58,6.14,1.22,6.63,8.93,5.15,5.84,3.85,8.34,4.04,7.17,6.4,1.32,6.01,3.61,3.57,5.42,4.03,2.94,7.8
PROT_0054,47.43,10.66,-0.633,577,30.63,22.18,1,6.02,7.99,3.28,5.96,6.01,1.87,6.37,1.52,5.21,5.87,3.42,1.86,6.33,8.23,8.62,7.96,1.59,6.08,4.82,1.01
PROT_0055,86.02,5.66,-0.223,371,24.12,21.11,1,2.98,2.19,1.66,8.43,1.87,7.78,8.35,8.78,1.31,3.95,7.74,2.14,4.3,2.41,8.31,7.78,8.12,2.44,4.84,4.6
PROT_0056,53.98,10.54,0.846,608,34.47,20.34,0,6.96,2.68,2.72,8.37,6.96,7.89,2.37,6.14,5.3,4.29,6.85,6.92,4.78,4.12,2.12,2.42,5.57,7.65,1.27,4.6
PROT_0057,98.09,4.96,-0.852,563,27.01,26.74,1,3.4,7.51,3.3,8.73,2.22,4.71,9.09,2.86,4.83,3.96,1.18,1.41,5.27,2.98,9.5,4.18,1.2,8.95,8.17,6.54
PROT_0058,71.29,8.42,0.3,227,26.36,23.05,1,7.73,7.13,4.76,5.96,8.34,1.07,2.68,2.14,8.62,5.9,4.38,7.28,2.86,1.91,2.87,6.15,6.02,1.43,7.77,5.01
PROT_0059,91.96,8.4,1.086,420,28.13,24.69,0,4.44,5.96,2.89,4.34,6.37,1.62,8.92,1.47,5.23,5.08,9.03,5.47,4.12,4.78,6.14,8.97,3.0,1.05,7.39,3.75
PROT_0060,41.6,9.27,-1.236,445,22.03,19.26,1,1.29,5.46,7.68,2.38,7.39,4.78,6.7,6.17,7.66,1.45,7.37,4.72,3.36,1.29,2.58,1.27,8.68,5.2,9.14,5.43
PROT_0061,23.41,8.63,-0.774,697,31.63,20.95,1,6.91,3.13,1.67,3.39,7.08,6.04,7.11,3.52,7.67,4.3,4.31,7.32,4.46,6.45,5.93,1.34,5.05,6.6,4.64,3.06
PROT_0062,22.06,9.45,-0.535,472,26.89,21.25,1,4.06,6.05,3.5,1.16,7.42,3.5,8.38,2.91,8.25,8.0,1.41,5.66,3.59,6.89,5.97,8.04,1.92,5.43,6.75,1.1
PROT_0063,87.87,10.99,-1.199,218,38.2,11.47,1,1.45,2.68,5.68,4.88,5.62,1.9,2.52,4.84,4.31,3.95,10.85,1.39,3.01,6.37,10.38,2.32,8.97,8.26,3.3,7.32
PROT_0064,97.99,4.18,0.216,457,29.47,20.5,0,4.44,7.96,4.38,1.57,6.25,7.54,3.39,3.61,1.39,5.15,7.9,7.58,6.48,8.18,5.9,7.13,4.88,1.83,2.46,1.97
PROT_0065,116.46,7.03,1.643,136,26.86,19.71,0,6.5,4.71,5.14,1.4,2.99,7.9,5.9,4.53,6.26,6.64,1.31,7.7,5.36,3.99,5.63,3.24,7.03,6.34,5.34,2.08
PROT_0066,109.71,6.36,1.696,122,35.94,21.41,0,5.44,3.59,2.36,9.04,2.91,9.15,5.45,3.42,1.64,2.66,9.23,3.33,6.37,6.27,1.77,6.5,6.08,5.98,2.44,6.36
PROT_0067,50.72,5.01,1.446,406,28.68,21.96,0,1.64,9.03,7.52,3.2,2.74,5.82,6.21,1.2,8.52,5.6,6.42,3.52,3.03,7.83,4.41,4.81,6.81,2.29,4.49,4.9
PROT_0068,31.73,10.97,-0.133,395,25.88,20.92,1,8.4,3.49,3.89,6.66,4.78,1.66,2.7,1.78,4.28,1.92,1.24,8.07,7.45,4.04,8.2,7.74,7.06,7.98,6.36,2.3
PROT_0069,35.44,7.87,-1.706,596,23.9,22.12,1,1.01,7.94,4.63,8.1,2.45,3.49,1.21,4.55,7.46,5.75,4.37,4.87,7.2,4.07,7.47,6.3,6.57,3.58,3.84,5.12
PROT_0070,69.13,6.3,0.452,246,37.59,15.97,0,7.0,3.12,8.79,6.33,1.84,8.68,4.04,7.24,3.6,8.39,6.92,2.48,4.96,4.88,1.25,1.98,3.55,4.67,4.54,5.73
PROT_0071,96.5,8.04,0.886,677,32.03,21.62,0,7.42,5.73,2.77,3.02,6.33,4.34,5.52,2.77,6.25,3.23,5.29,7.35,4.68,6.12,5.64,5.39,0.93,3.95,7.27,6.02
PROT_0072,36.77,6.28,0.649,618,21.36,18.25,0,2.45,6.44,6.36,8.29,2.25,6.89,1.24,9.22,1.92,1.13,3.7,2.28,6.98,4.54,7.71,8.98,8.56,7.37,1.51,2.17
PROT_0073,51.62,10.54,1.182,360,21.52,16.38,0,3.61,2.42,8.7,3.85,3.95,7.5,7.07,6.41,6.84,6.13,2.58,3.04,5.69,2.85,9.21,3.47,3.4,2.71,6.93,3.64
PROT_0074,76.62,5.7,0.679,623,28.24,25.96,0,1.81,6.11,3.81,8.46,7.21,8.26,7.1,3.11,3.09,6.4,3.55,4.29,2.85,4.58,2.43,5.04,8.1,6.26,1.93,5.64
PROT_0075,71.19,9.06,1.747,259,33.81,16.39,0,5.85,1.28,4.1,6.47,1.65,6.89,0.91,5.17,8.13,4.05,8.17,7.73,4.6,2.43,8.4,3.38,5.91,7.96,1.57,5.35
PROT_0076,64.14,5.35,-1.549,246,30.6,20.05,1,6.38,1.84,6.62,7.12,3.27,3.9,6.73,6.9,6.67,6.35,0.77,4.36,1.4,7.03,2.54,7.07,4.21,3.89,6.75,6.18
PROT_0077,94.14,10.68,-0.792,666,35.12,23.79,0,5.0,3.23,2.61,7.44,7.91,5.96,7.62,2.51,8.49,8.85,8.23,5.5,1.74,6.85,2.6,2.21,3.81,3.15,3.26,3.04
PROT_0078,88.7,10.39,1.029,760,26.08,20.33,0,2.71,3.42,2.53,5.66,4.19,1.97,5.8,7.52,7.26,6.41,5.83,5.45,7.65,3.48,2.41,7.77,4.29,4.12,8.0,3.53
PROT_0079,61.78,4.39,-1.472,505,34.77,17.42,1,6.14,5.57,4.98,6.32,4.48,4.5,3.33,7.24,1.57,6.61,7.14,2.2,4.56,1.94,6.8,3.89,5.57,5.83,4.22,7.11
PROT_0080,91.58,10.75,-0.502,471,39.84,18.16,1,6.61,6.56,7.67,4.1,1.3,3.58,1.12,3.22,1.8,5.23,7.94,6.38,1.68,9.84,10.74,5.71,3.9,2.85,2.41,7.37
PROT_0081,40.99,6.42,-0.897,195,32.18,27.65,1,7.94,8.24,3.94,6.43,6.26,5.27,6.19,3.71,2.34,5.25,5.18,6.79,2.7,0.93,1.08,3.31,6.35,5.31,5.21,7.57
PROT_0082,91.81,6.23,0.392,768,34.6,23.68,0,8.42,4.85,8.03,9.1,1.16,2.9,1.94,1.32,6.49,7.45,1.46,7.79,4.7,3.16,3.0,8.92,1.53,5.63,3.66,8.48
PROT_0083,34.31,7.77,-1.036,310,25.46,24.28,1,2.86,8.11,9.01,5.2,4.31,3.17,5.49,5.78,6.95,2.35,6.49,5.48,1.3,3.74,6.2,4.05,5.22,6.64,4.27,3.38
PROT_0084,99.49,8.11,0.686,302,33.17,17.14,1,10.21,2.69,6.05,1.78,5.52,5.56,6.76,5.26,3.86,4.65,2.0,5.91,5.08,6.82,9.91,1.71,5.15,7.55,1.59,1.94
PROT_0085,107.7,7.26,1.211,560,29.79,29.56,0,2.55,8.12,3.31,8.14,2.58,2.4,6.8,6.85,6.91,8.18,6.44,6.5,4.05,2.8,3.45,3.15,4.61,6.06,3.35,3.76
PROT_0086,82.38,7.43,-1.327,440,33.34,15.6,1,8.12,3.82,4.16,5.34,2.63,2.04,2.95,8.29,5.47,4.19,2.09,3.49,3.89,7.48,4.84,6.07,6.31,2.92,7.39,8.54
PROT_0087,113.06,10.39,0.637,96,32.06,22.74,0,2.37,6.2,2.78,9.44,10.39,10.08,5.99,8.96,1.75,8.77,1.51,1.11,2.35,7.0,1.69,2.47,3.11,5.35,1.62,7.06
PROT_0088,63.19,5.7,0.789,387,35.29,24.54,1,5.26,4.28,1.05,6.82,5.29,3.26,5.02,6.62,4.43,8.6,2.38,8.42,5.2,2.88,5.98,2.97,3.81,7.41,1.56,8.76
PROT_0089,87.69,7.97,-0.916,156,31.19,16.88,1,6.61,1.35,7.76,5.36,1.01,3.64,3.44,4.13,5.27,5.73,1.36,6.73,5.32,3.11,7.66,7.64,7.08,7.25,2.4,7.13
PROT_0090,118.79,9.07,0.003,434,26.02,18.4,0,7.9,7.7,5.14,1.1,7.92,3.24,8.17,5.32,6.58,6.28,3.88,1.43,2.08,2.68,7.21,3.81,7.68,3.37,6.6,1.91
PROT_0091,22.72,5.88,-0.48,729,30.21,22.08,0,1.86,3.06,1.67,6.38,6.46,6.29,9.62,3.9,6.64,7.97,5.0,3.02,5.91,4.33,2.64,6.21,4.37,7.87,3.62,3.18
PROT_0092,23.89,10.31,1.621,328,41.52,16.95,0,9.99,5.02,2.55,1.37,4.92,5.53,4.47,2.86,3.5,6.57,7.81,6.09,1.61,5.46,2.4,8.32,5.11,5.83,4.73,5.86
PROT_0093,54.89,10.04,-0.239,520,34.09,23.28,1,5.86,7.39,2.6,3.52,3.52,2.38,2.58,3.59,3.81,8.29,4.38,9.79,7.72,5.63,6.75,5.28,2.29,1.09,4.7,8.84
PROT_0094,86.58,7.85,1.812,552,33.83,24.07,0,8.52,1.94,3.39,8.3,2.45,3.34,8.44,8.47,3.16,6.32,4.72,5.39,2.77,3.82,7.28,3.95,1.77,5.3,5.52,5.15
PROT_0095,18.86,10.78,0.807,629,24.66,19.31,1,2.57,7.29,7.56,1.45,7.69,7.27,6.29,2.01,3.32,2.92,2.13,4.28,3.91,4.49,5.69,5.56,5.18,8.3,7.86,4.25
PROT_0096,56.07,9.41,0.354,592,27.89,17.55,0,5.98,1.57,7.02,6.14,3.72,6.05,1.24,8.74,6.29,4.08,6.89,8.6,4.32,0.97,2.95,4.96,5.03,5.52,5.48,4.45
PROT_0097,83.04,8.74,-1.343,329,35.14,21.5,1,4.25,1.26,2.01,4.91,9.99,2.12,9.8,2.35,3.94,5.28,2.96,5.53,5.47,5.12,7.53,4.01,3.83,8.58,2.11,8.95
PROT_0098,106.56,5.31,-0.696,548,26.7,18.65,0,2.74,2.6,6.44,10.26,3.29,4.95,2.83,7.21,5.21,1.35,6.96,2.96,6.75,4.79,7.82,3.04,8.28,8.82,1.67,2.04
PROT_0099,68.64,6.93,-1.449,472,32.92,26.84,1,3.09,8.07,5.29,6.22,5.87,5.99,5.78,3.8,7.93,6.04,7.66,6.77,3.38,6.01,1.62,2.03,1.9,3.45,2.44,6.67
PROT_0100,103.19,7.42,-1.669,111,20.42,21.86,1,2.52,6.34,6.83,6.43,9.44,5.66,5.1,2.14,3.62,4.78,1.4,3.99,1.03,2.1,7.87,9.13,5.24,5.15,6.76,4.47
PROT_0101,93.89,6.08,1.997,540,36.64,20.21,0,3.29,3.15,5.29,2.28,4.64,6.97,7.16,5.39,1.83,1.84,7.23,7.62,3.9,7.62,1.25,6.77,5.36,8.98,1.74,7.68
PROT_0102,88.93,6.03,-0.931,606,28.3,28.86,1,4.1,8.29,4.91,9.87,7.92,3.11,8.23,6.24,4.12,7.34,6.64,2.47,2.24,2.84,2.84,1.52,4.12,3.5,5.8,3.88
PROT_0103,95.73,6.82,0.999,791,32.65,17.61,0,8.61,2.29,8.0,4.86,1.58,3.61,7.13,7.55,2.27,2.39,4.03,3.33,8.87,4.68,2.35,6.91,6.87,4.52,1.73,8.42
PROT_0104,97.77,10.26,1.049,127,34.84,22.13,0,3.95,4.18,4.84,6.84,6.69,1.43,7.56,5.21,5.64,6.71,6.33,3.55,7.53,6.53,4.23,3.03,2.75,4.6,1.69,6.72
PROT_0105,80.69,9.08,1.021,519,34.9,26.14,0,5.5,7.07,0.95,7.76,2.01,4.23,8.23,4.02,8.26,7.61,7.41,3.08,7.35,7.37,1.53,3.52,1.44,5.79,5.67,1.22
PROT_0106,100.4,10.12,0.566,773,30.07,19.43,0,2.24,2.28,3.59,2.09,7.8,6.98,6.15,1.32,5.03,2.56,10.75,8.91,6.51,3.76,2.22,10.15,2.37,5.3,4.54,5.46
PROT_0107,41.06,8.21,0.885,371,25.71,24.52,1,1.56,5.87,6.28,2.4,4.02,2.82,7.48,8.97,6.33,4.82,2.86,8.77,2.19,2.04,7.32,4.03,4.7,7.85,3.12,6.58
PROT_0108,103.09,6.95,0.185,256,27.96,20.44,0,1.24,8.61,8.87,2.84,6.45,2.69,4.52,6.8,8.04,8.13,3.15,4.47,3.16,6.73,1.64,8.98,1.11,4.24,3.84,4.47
PROT_0109,99.85,7.75,-0.437,729,31.94,16.8,1,10.17,8.42,1.22,1.71,3.56,1.44,1.64,8.6,5.9,7.06,5.84,5.03,7.76,1.85,6.18,6.94,3.71,4.02,5.94,3.0
PROT_0110,90.68,5.17,-1.492,355,32.64,16.37,1,6.27,1.4,6.41,6.66,7.58,1.34,1.56,4.32,4.47,5.7,3.33,6.75,6.74,1.83,6.49,6.43,2.18,8.43,5.02,7.08
PROT_0111,19.62,10.04,-1.022,563,35.88,29.25,1,9.02,7.98,1.27,8.3,3.46,1.58,7.45,6.22,1.7,5.12,4.26,5.52,6.13,4.33,3.31,1.94,6.19,7.54,3.07,5.61
PROT_0112,22.24,7.26,-0.871,398,31.57,18.02,1,3.61,1.91,7.62,7.08,4.86,7.5,6.23,3.88,3.17,3.86,6.08,2.8,1.38,3.54,4.48,7.41,2.12,6.69,7.99,7.79
PROT_0113,16.01,6.35,1.036,465,34.12,16.22,0,1.48,4.25,3.59,3.01,6.7,6.37,2.65,3.59,8.11,8.3,6.64,6.31,4.92,6.79,1.96,7.81,1.01,4.89,5.59,6.02
PROT_0114,74.62,7.04,1.857,322,32.23,19.57,0,7.12,1.83,5.45,2.97,5.12,1.45,9.41,6.99,1.73,8.77,8.57,5.36,6.9,4.11,9.22,1.67,1.76,2.08,7.91,1.58
PROT_0115,27.59,5.1,0.744,793,30.08,17.58,1,3.46,3.97,8.49,7.56,7.88,4.0,3.57,1.73,2.92,8.3,6.48,2.48,2.56,5.37,4.82,6.02,10.02,2.97,3.9,3.5
PROT_0116,118.17,4.92,1.295,461,32.23,21.4,0,1.42,8.85,4.1,1.89,3.36,4.36,5.84,7.37,3.47,10.3,1.33,4.82,5.27,8.03,3.37,5.36,8.55,2.35,1.15,8.8
PROT_0117,86.74,5.21,-1.141,271,28.62,19.9,1,6.58,6.71,6.15,3.28,8.2,1.18,1.56,8.99,4.92,2.13,9.02,8.35,3.93,1.36,5.08,2.48,6.08,8.28,4.49,1.25
PROT_0118,72.17,7.39,1.651,594,27.0,21.34,0,3.26,8.3,1.22,6.09,2.98,3.39,4.36,5.52,1.44,3.26,2.07,2.59,8.31,5.31,6.19,7.62,7.56,9.18,7.45,3.92
PROT_0119,103.88,9.58,-0.581,257,28.12,14.05,1,3.74,2.18,3.22,2.47,7.54,6.66,1.27,8.26,4.8,6.58,8.32,8.13,1.58,5.75,2.83,6.95,7.7,1.25,8.3,2.48
PROT_0120,49.83,8.3,1.226,428,36.82,19.5,0,2.97,3.67,7.25,4.01,6.0,6.96,3.95,5.8,2.16,9.05,8.1,7.87,9.24,5.58,2.45,1.27,1.43,6.09,1.12,5.03
PROT_0121,66.16,6.22,0.829,655,27.93,18.56,0,2.49,7.88,8.45,1.47,2.23,7.04,2.18,1.91,5.5,4.11,1.58,7.03,6.67,6.01,3.86,3.74,9.37,7.27,4.73,6.47
PROT_0122,25.93,7.47,-0.675,159,34.01,23.01,1,7.6,5.5,3.55,5.9,7.03,3.72,6.42,3.08,2.19,0.86,6.17,5.19,7.3,6.7,5.15,2.23,3.26,6.98,5.48,5.7
